,smiles,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,CC=C(CCC(C)C1CCC2C3=CCC4C(C)C(O)CCC4(C)C3CCC21C)C(C)C,0,0,0,0,-1,-1,0,0,0,0,0
1,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,0,0,0,0,1,0,0,0,0,0,-1
2,CC(C)(C)OCC1CO1,0,0,0,0,-1,-1,0,0,0,0,0
3,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,0,0,0,0,-1,-1,0,0,0,0,-1
4,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0,0,0,0,0,0,-1,0,0,0,-1
5,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,0,0,0,0,1,0,0,0,0,0,0
6,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl,0,0,0,0,0,0,0,0,0,0,-1
7,CC1CCOC1C(O)=Nc1cnns1,0,0,0,0,0,0,0,0,0,-1,0
8,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,0,0,0,0,0,0,0,0,0,0,-1
9,N=c1nc(O)c2ncn(COC(CO)CO)c2[nH]1,-1,1,-1,1,-1,-1,-1,-1,0,0,-1
10,CCOCC(=O)O,0,0,0,0,-1,-1,0,0,0,0,0
11,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,0,0,0,0,-1,1,0,0,0,0,0
12,Cc1cc(CCC[C@H](CC(O)=NO)C(O)=N[C@H](C(O)=N[C@H](C)c2ccccc2)C(C)(C)C)ccc1-c1ccccc1,0,0,0,0,0,0,0,0,0,0,-1
13,COC(=O)CNC(=O)c1cc(C)on1,0,0,0,0,0,0,0,0,0,-1,0
14,CC(C)=CCOc1ccc(C=CC(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1,0,0,0,0,1,1,0,0,0,0,0
15,CC1CN(C(=O)c2cnccn2)CCO1,0,0,0,0,0,0,0,0,0,-1,0
16,O=Cc1ccc(F)c(Br)c1,0,0,0,0,-1,-1,0,0,0,0,0
17,CC(=O)C1(C)CC2=C(CCCC2(C)C)CC1C,0,0,0,0,1,-1,0,0,0,0,0
18,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,1,0,0,0,0,0,0,0,0,0,0
19,COC(=O)CC(O)(CCCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4,0,0,0,0,1,1,0,0,0,0,0
20,CCOc1cc(N=C(C)O)ccc1C(=O)OC,0,0,0,0,-1,-1,0,0,0,0,0
21,[AsH2],0,0,0,1,0,0,0,0,0,0,0
22,CC[C@@H](C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,0,0,0,0,0,0,0,0,0,0,-1
23,N=c1[nH]c2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,0,0,0,0,0,0,0,0,0,0,-1
